categories,function,module
aggregation,Expr.count,tabsdata.tableframe.expr.expr
aggregation,Expr.first,tabsdata.tableframe.expr.expr
aggregation,Expr.last,tabsdata.tableframe.expr.expr
aggregation,Expr.len,tabsdata.tableframe.expr.expr
aggregation,Expr.max,tabsdata.tableframe.expr.expr
aggregation,Expr.mean,tabsdata.tableframe.expr.expr
aggregation,Expr.median,tabsdata.tableframe.expr.expr
aggregation,Expr.min,tabsdata.tableframe.expr.expr
aggregation,Expr.n_unique,tabsdata.tableframe.expr.expr
aggregation,Expr.rank,tabsdata.tableframe.expr.expr
aggregation,Expr.sum,tabsdata.tableframe.expr.expr
aggregation,TableFrame.group_by,tabsdata.tableframe.lazyframe.frame
aggregation,TableFrameGroupBy.count,tabsdata.tableframe.lazyframe.group_by
aggregation,TableFrameGroupBy.max,tabsdata.tableframe.lazyframe.group_by
aggregation,TableFrameGroupBy.mean,tabsdata.tableframe.lazyframe.group_by
aggregation,TableFrameGroupBy.median,tabsdata.tableframe.lazyframe.group_by
aggregation,TableFrameGroupBy.min,tabsdata.tableframe.lazyframe.group_by
aggregation,TableFrameGroupBy.n_unique,tabsdata.tableframe.lazyframe.group_by
aggregation,TableFrameGroupBy.sum,tabsdata.tableframe.lazyframe.group_by
attributes,TableFrame.dtypes,tabsdata.tableframe.lazyframe.frame
date,ExprDateTimeNameSpace.add_business_days,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.base_utc_offset,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.cast_time_unit,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.century,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.combine,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.convert_time_zone,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.date,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.datetime,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.day,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.dst_offset,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.epoch,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.hour,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.is_leap_year,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.iso_year,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.microsecond,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.millennium,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.millisecond,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.minute,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.month,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.month_end,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.month_start,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.nanosecond,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.offset_by,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.ordinal_day,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.quarter,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.replace_time_zone,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.second,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.strftime,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.time,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.timestamp,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.total_days,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.total_hours,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.total_microseconds,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.total_milliseconds,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.total_minutes,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.total_nanoseconds,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.total_seconds,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.truncate,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.week,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.weekday,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.with_time_unit,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.year,tabsdata.tableframe.functions.datetime
description,TableFrame.explain,tabsdata.tableframe.lazyframe.frame
description,TableFrame.show_graph,tabsdata.tableframe.lazyframe.frame
filters,Expr.filter,tabsdata.tableframe.expr.expr
filters,Expr.slice,tabsdata.tableframe.expr.expr
filters,TableFrame.extract_as_columns,tabsdata.tableframe.lazyframe.frame
filters,TableFrame.extract_as_rows,tabsdata.tableframe.lazyframe.frame
filters,TableFrame.filter,tabsdata.tableframe.lazyframe.frame
filters,TableFrame.first,tabsdata.tableframe.lazyframe.frame
filters,TableFrame.first_row,tabsdata.tableframe.lazyframe.frame
filters,TableFrame.head,tabsdata.tableframe.lazyframe.frame
filters,TableFrame.last,tabsdata.tableframe.lazyframe.frame
filters,TableFrame.last_row,tabsdata.tableframe.lazyframe.frame
filters,TableFrame.limit,tabsdata.tableframe.lazyframe.frame
filters,TableFrame.slice,tabsdata.tableframe.lazyframe.frame
filters,TableFrame.tail,tabsdata.tableframe.lazyframe.frame
filters,TableFrame.unique,tabsdata.tableframe.lazyframe.frame
generation,lit,tabsdata.tableframe.functions.lit
join,TableFrame.join,tabsdata.tableframe.lazyframe.frame
logic,Expr.and_,tabsdata.tableframe.expr.expr
logic,Expr.eq,tabsdata.tableframe.expr.expr
logic,Expr.eq_missing,tabsdata.tableframe.expr.expr
logic,Expr.ge,tabsdata.tableframe.expr.expr
logic,Expr.gt,tabsdata.tableframe.expr.expr
logic,Expr.is_between,tabsdata.tableframe.expr.expr
logic,Expr.is_finite,tabsdata.tableframe.expr.expr
logic,Expr.is_in,tabsdata.tableframe.expr.expr
logic,Expr.is_infinite,tabsdata.tableframe.expr.expr
logic,Expr.is_nan,tabsdata.tableframe.expr.expr
logic,Expr.is_not_nan,tabsdata.tableframe.expr.expr
logic,Expr.is_not_null,tabsdata.tableframe.expr.expr
logic,Expr.is_null,tabsdata.tableframe.expr.expr
logic,Expr.is_unique,tabsdata.tableframe.expr.expr
logic,Expr.le,tabsdata.tableframe.expr.expr
logic,Expr.lt,tabsdata.tableframe.expr.expr
logic,Expr.ne,tabsdata.tableframe.expr.expr
logic,Expr.ne_missing,tabsdata.tableframe.expr.expr
logic,Expr.not_,tabsdata.tableframe.expr.expr
logic,Expr.or_,tabsdata.tableframe.expr.expr
logic,Expr.xor,tabsdata.tableframe.expr.expr
manipulation,Expr.alias,tabsdata.tableframe.expr.expr
manipulation,Expr.fill_nan,tabsdata.tableframe.expr.expr
manipulation,Expr.fill_null,tabsdata.tableframe.expr.expr
manipulation,TableFrame.cast,tabsdata.tableframe.lazyframe.frame
manipulation,TableFrame.drop_nans,tabsdata.tableframe.lazyframe.frame
manipulation,TableFrame.drop_nulls,tabsdata.tableframe.lazyframe.frame
manipulation,TableFrame.fill_nan,tabsdata.tableframe.lazyframe.frame
manipulation,TableFrame.fill_null,tabsdata.tableframe.lazyframe.frame
numeric,Expr.abs,tabsdata.tableframe.expr.expr
numeric,Expr.add,tabsdata.tableframe.expr.expr
numeric,Expr.arccos,tabsdata.tableframe.expr.expr
numeric,Expr.arccosh,tabsdata.tableframe.expr.expr
numeric,Expr.arcsin,tabsdata.tableframe.expr.expr
numeric,Expr.arcsinh,tabsdata.tableframe.expr.expr
numeric,Expr.arctan,tabsdata.tableframe.expr.expr
numeric,Expr.arctanh,tabsdata.tableframe.expr.expr
numeric,Expr.cbrt,tabsdata.tableframe.expr.expr
numeric,Expr.ceil,tabsdata.tableframe.expr.expr
numeric,Expr.clip,tabsdata.tableframe.expr.expr
numeric,Expr.cos,tabsdata.tableframe.expr.expr
numeric,Expr.cosh,tabsdata.tableframe.expr.expr
numeric,Expr.cot,tabsdata.tableframe.expr.expr
numeric,Expr.degrees,tabsdata.tableframe.expr.expr
numeric,Expr.diff,tabsdata.tableframe.expr.expr
numeric,Expr.exp,tabsdata.tableframe.expr.expr
numeric,Expr.floor,tabsdata.tableframe.expr.expr
numeric,Expr.hash,tabsdata.tableframe.expr.expr
numeric,Expr.log,tabsdata.tableframe.expr.expr
numeric,Expr.log10,tabsdata.tableframe.expr.expr
numeric,Expr.log1p,tabsdata.tableframe.expr.expr
numeric,Expr.mod,tabsdata.tableframe.expr.expr
numeric,Expr.mul,tabsdata.tableframe.expr.expr
numeric,Expr.neg,tabsdata.tableframe.expr.expr
numeric,Expr.pow,tabsdata.tableframe.expr.expr
numeric,Expr.radians,tabsdata.tableframe.expr.expr
numeric,Expr.reinterpret,tabsdata.tableframe.expr.expr
numeric,Expr.round,tabsdata.tableframe.expr.expr
numeric,Expr.round_sig_figs,tabsdata.tableframe.expr.expr
numeric,Expr.shrink_dtype,tabsdata.tableframe.expr.expr
numeric,Expr.sign,tabsdata.tableframe.expr.expr
numeric,Expr.sin,tabsdata.tableframe.expr.expr
numeric,Expr.sinh,tabsdata.tableframe.expr.expr
numeric,Expr.sqrt,tabsdata.tableframe.expr.expr
numeric,Expr.sub,tabsdata.tableframe.expr.expr
numeric,Expr.tan,tabsdata.tableframe.expr.expr
numeric,Expr.tanh,tabsdata.tableframe.expr.expr
numeric,Expr.truediv,tabsdata.tableframe.expr.expr
projection,TableFrame.drop,tabsdata.tableframe.lazyframe.frame
projection,TableFrame.item,tabsdata.tableframe.lazyframe.frame
projection,TableFrame.rename,tabsdata.tableframe.lazyframe.frame
projection,TableFrame.select,tabsdata.tableframe.lazyframe.frame
projection,TableFrame.udf,tabsdata.tableframe.lazyframe.frame
projection,TableFrame.unnest,tabsdata.tableframe.lazyframe.frame
projection,TableFrame.with_columns,tabsdata.tableframe.lazyframe.frame
projection,all,tabsdata.tableframe.selectors
projection,alpha,tabsdata.tableframe.selectors
projection,alphanumeric,tabsdata.tableframe.selectors
projection,binary,tabsdata.tableframe.selectors
projection,boolean,tabsdata.tableframe.selectors
projection,by_dtype,tabsdata.tableframe.selectors
projection,by_index,tabsdata.tableframe.selectors
projection,by_name,tabsdata.tableframe.selectors
projection,categorical,tabsdata.tableframe.selectors
projection,contains,tabsdata.tableframe.selectors
projection,date,tabsdata.tableframe.selectors
projection,datetime,tabsdata.tableframe.selectors
projection,decimal,tabsdata.tableframe.selectors
projection,digit,tabsdata.tableframe.selectors
projection,duration,tabsdata.tableframe.selectors
projection,ends_with,tabsdata.tableframe.selectors
projection,exclude,tabsdata.tableframe.selectors
projection,first,tabsdata.tableframe.selectors
projection,float,tabsdata.tableframe.selectors
projection,integer,tabsdata.tableframe.selectors
projection,last,tabsdata.tableframe.selectors
projection,matches,tabsdata.tableframe.selectors
projection,numeric,tabsdata.tableframe.selectors
projection,object,tabsdata.tableframe.selectors
projection,signed_integer,tabsdata.tableframe.selectors
projection,starts_with,tabsdata.tableframe.selectors
projection,string,tabsdata.tableframe.selectors
projection,temporal,tabsdata.tableframe.selectors
projection,time,tabsdata.tableframe.selectors
projection,unsigned_integer,tabsdata.tableframe.selectors
string,ExprStringNameSpace.contains,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.contains_any,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.count_matches,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.ends_with,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.extract,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.find,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.grok,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.head,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.len_bytes,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.len_chars,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.pad_end,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.pad_start,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.replace,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.replace_all,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.replace_many,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.reverse,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.slice,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.starts_with,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.strip_chars,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.strip_chars_end,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.strip_chars_start,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.strip_prefix,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.strip_suffix,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.tail,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.to_lowercase,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.to_titlecase,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.to_uppercase,tabsdata.tableframe.expr.string
string,ExprStringNameSpace.zfill,tabsdata.tableframe.expr.string
string,TableFrame.grok,tabsdata.tableframe.lazyframe.frame
tableframe,TableFrame.assert_has_cols,tabsdata.tableframe.lazyframe.frame
tableframe,TableFrame.clear,tabsdata.tableframe.lazyframe.frame
tableframe,TableFrame.empty,tabsdata.tableframe.lazyframe.frame
tableframe,TableFrame.from_dict,tabsdata.tableframe.lazyframe.frame
tableframe,TableFrame.from_pandas,tabsdata.tableframe.lazyframe.frame
tableframe,TableFrame.from_polars,tabsdata.tableframe.lazyframe.frame
tableframe,TableFrame.has_cols,tabsdata.tableframe.lazyframe.frame
tableframe,TableFrame.has_same_schema,tabsdata.tableframe.lazyframe.frame
tableframe,TableFrame.is_empty,tabsdata.tableframe.lazyframe.frame
tableframe,TableFrame.sort,tabsdata.tableframe.lazyframe.frame
tableframe,TableFrame.to_dict,tabsdata.tableframe.lazyframe.frame
tableframe,TableFrame.to_pandas,tabsdata.tableframe.lazyframe.frame
tableframe,TableFrame.to_polars_df,tabsdata.tableframe.lazyframe.frame
tableframe,TableFrame.to_polars_lf,tabsdata.tableframe.lazyframe.frame
type_casting,Expr.cast,tabsdata.tableframe.expr.expr
type_casting,Expr.dt,tabsdata.tableframe.expr.expr
type_casting,Expr.str,tabsdata.tableframe.expr.expr
type_casting,ExprDateTimeNameSpace.to_string,tabsdata.tableframe.functions.datetime
type_casting,ExprStringNameSpace.to_date,tabsdata.tableframe.expr.string
type_casting,ExprStringNameSpace.to_datetime,tabsdata.tableframe.expr.string
type_casting,ExprStringNameSpace.to_integer,tabsdata.tableframe.expr.string
type_casting,ExprStringNameSpace.to_time,tabsdata.tableframe.expr.string
union,concat,tabsdata.tableframe.functions.eager
