Model ID,Simulation time (Myr),Time step (yr),Model thickness (km),Node points,Surface temperature (C),Basal temperature (C),Mantle adiabat,Crustal density (kg m^-3),Mantle removal fraction,Mantle removal start time (Ma),Mantle removal end time (Ma),Erosion model type,Erosion model option 1,Erosion model option 2,Erosion model option 3,Erosion model option 4,Erosion model option 5,Erosion model option 6,Erosion model option 7,Erosion model option 8,Erosion model option 9,Erosion model option 10,Initial Moho depth (km),Initial Moho temperature (C),Initial surface heat flow (mW m^-2),Initial surface elevation (km),Final Moho depth (km),Final Moho temperature (C),Final surface heat flow (mW m^-2),Final surface elevation (km),Total exhumation (km),Apatite grain radius (um),Apatite U concentration (ppm), Apatite Th concentration (ppm),Zircon grain radius (um),Zircon U concentration (ppm), Zircon Th concentration (ppm),Predicted apatite (U-Th)/He age (Ma),Predicted apatite (U-Th)/He closure temperature (C),Measured apatite (U-Th)/He age (Ma),Measured apatite (U-Th)/He standard deviation (Ma),Predicted apatite fission-track age (Ma),Predicted apatite fission-track closure temperature (C),Measured apatite fission-track age (Ma),Measured apatite fission-track standard deviation (Ma),Predicted zircon (U-Th)/He age (Ma),Predicted zircon (U-Th)/He closure temperature (C),Measured zircon (U-Th)/He age (Ma),Measured zircon (U-Th)/He standard deviation (Ma),Predicted zircon fission-track age (Ma),Predicted zircon fission-track closure temperature (C),Measured zircon fission-track age (Ma),Measured zircon fission-track standard deviation (Ma),Misfit,Misfit type,Number of ages for misfit
EE1-crust-only-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,673.3582,87.4067,0.0000,35.0000,700.3608,95.6494,0.0465,10.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,8.0000,54.7364,-9999.0000,-9999.0000,15.4323,103.3152,-9999.0000,-9999.0000,20.7100,136.4181,-9999.0000,-9999.0000,41.0133,250.9560,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE1-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,932.4812,101.4850,0.0000,35.0000,820.1895,107.0072,-1.1810,10.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,7.1500,55.6262,-9999.0000,-9999.0000,13.5569,104.7101,-9999.0000,-9999.0000,17.7600,136.4019,-9999.0000,-9999.0000,33.9562,251.9774,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE2-crust-only-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,528.7717,63.1379,0.0378,10.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,11.6300,52.1879,-9999.0000,-9999.0000,22.9311,99.9406,-9999.0000,-9999.0000,30.3600,129.5231,-9999.0000,-9999.0000,48.1839,188.5285,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE2-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,686.1654,64.1823,0.0000,35.0000,613.1280,70.7460,-1.0925,10.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,10.3900,52.9298,-9999.0000,-9999.0000,20.2050,101.0719,-9999.0000,-9999.0000,26.9500,132.6677,-9999.0000,-9999.0000,47.3190,212.4082,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE4-crust-only-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,2,5.0000,45.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,540.3725,79.0008,0.0580,10.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,2.4500,63.8701,-9999.0000,-9999.0000,5.9574,106.9766,-9999.0000,-9999.0000,18.1200,133.1212,-9999.0000,-9999.0000,47.1020,188.0806,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE4-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,2,5.0000,45.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,686.1654,64.1823,0.0000,35.0000,646.3821,89.6941,-1.0206,10.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,2.1700,64.8922,-9999.0000,-9999.0000,4.4204,113.4766,-9999.0000,-9999.0000,12.4800,137.4173,-9999.0000,-9999.0000,45.6375,211.6403,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE5-crust-only-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,673.3582,87.4067,0.0000,35.0000,727.4601,104.5917,0.0936,20.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,4.0300,60.1734,-9999.0000,-9999.0000,7.5098,109.6627,-9999.0000,-9999.0000,9.2200,133.0933,-9999.0000,-9999.0000,19.0596,257.2041,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE5-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.0000,1189.1667,113.9583,0.0000,35.0000,980.1819,130.6575,-2.3987,20.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,3.2600,61.8539,-9999.0000,-9999.0000,5.9347,111.8714,-9999.0000,-9999.0000,6.9300,130.2740,-9999.0000,-9999.0000,14.2234,261.3671,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE6-crust-only-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,551.3357,69.8043,0.0763,20.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,5.7800,57.1740,-9999.0000,-9999.0000,11.0582,106.1636,-9999.0000,-9999.0000,14.5400,136.7638,-9999.0000,-9999.0000,29.6339,253.2028,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE6-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.0000,865.4167,70.5208,0.0000,35.0000,728.7611,87.2240,-2.2050,20.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,4.6900,58.8807,-9999.0000,-9999.0000,8.7660,108.4267,-9999.0000,-9999.0000,10.9100,133.7787,-9999.0000,-9999.0000,21.9921,255.9947,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE8-crust-only-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,2,10.0000,45.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,570.2536,106.9350,0.1150,20.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,1.0000,71.7044,-9999.0000,-9999.0000,1.8518,121.3216,-9999.0000,-9999.0000,2.5000,152.1632,-9999.0000,-9999.0000,16.6285,253.5378,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE8-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,2,10.0000,45.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.0000,865.4167,70.5208,0.0000,35.0000,797.9083,137.6988,-2.0616,20.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,0.7900,74.1502,-9999.0000,-9999.0000,1.4129,124.1021,-9999.0000,-9999.0000,1.6400,140.4968,-9999.0000,-9999.0000,5.6935,269.3576,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
SBEE1-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,2,-9.0000,10.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,673.3582,87.4067,-0.0000,34.0000,724.6187,100.3106,0.0206,1.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,6.2900,56.5690,-9999.0000,-9999.0000,12.0028,105.4591,-9999.0000,-9999.0000,16.3200,140.2931,-9999.0000,-9999.0000,41.3454,196.7031,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
SBEE2-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,2,-9.0000,10.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,506.4552,57.0429,-0.0000,34.0000,542.0725,65.9145,-0.0010,1.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,9.2700,53.6707,-9999.0000,-9999.0000,18.4947,101.5496,-9999.0000,-9999.0000,25.8600,133.6551,-9999.0000,-9999.0000,48.1285,45.9244,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
SBEE3-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,2,-9.0000,20.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,673.3582,87.4067,-0.0000,34.0000,734.2392,103.8229,0.0351,1.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,4.7500,58.7442,-9999.0000,-9999.0000,8.9666,108.0656,-9999.0000,-9999.0000,12.1600,143.1645,-9999.0000,-9999.0000,35.0172,195.7748,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
SBEE4-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,2,-9.0000,20.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,506.4552,57.0429,-0.0000,34.0000,547.9693,68.1554,0.0101,1.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,7.0100,55.6726,-9999.0000,-9999.0000,13.8476,103.9594,-9999.0000,-9999.0000,19.8400,139.2133,-9999.0000,-9999.0000,47.5240,39.0922,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
SBEE5-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,2,-9.0000,1.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,673.3582,87.4067,-0.0002,34.0000,717.4983,98.2169,0.0091,1.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,7.6300,55.0969,-9999.0000,-9999.0000,14.6839,103.5787,-9999.0000,-9999.0000,19.9900,137.9647,-9999.0000,-9999.0000,44.5658,221.2267,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
SBEE6-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,2,-9.0000,1.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,506.4552,57.0429,-0.0002,34.0000,537.6979,64.5832,-0.0095,1.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,11.2600,52.3767,-9999.0000,-9999.0000,22.6453,99.8426,-9999.0000,-9999.0000,30.9300,128.6512,-9999.0000,-9999.0000,48.5869,90.3734,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
TF1-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,-5.0000,0.5000,30.0000,15.5000,0.0000,5.0000,0.1944,10.0000,0.0000,0.0000,50.0000,776.4151,67.4528,0.0000,35.0001,600.7847,69.4690,-1.8281,15.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,10.8500,52.6398,-9999.0000,-9999.0000,21.2007,100.6200,-9999.0000,-9999.0000,28.3400,131.7236,-9999.0000,-9999.0000,46.0610,229.7844,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
TF1-crust-only-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,-5.0000,0.5000,30.0000,15.5000,0.0000,5.0000,0.1944,10.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,524.2188,62.5716,0.0263,15.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,12.0500,51.9407,-9999.0000,-9999.0000,23.9269,99.4507,-9999.0000,-9999.0000,32.3300,129.7031,-9999.0000,-9999.0000,49.4389,263.2242,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
TF2-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,-5.0000,-0.5000,30.0000,2.0000,0.0000,5.0000,0.1944,10.0000,0.0000,0.0000,37.5000,550.9346,58.9019,0.0000,35.0001,562.4057,65.8389,-0.1971,2.5000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,11.5400,52.2509,-9999.0000,-9999.0000,23.0813,99.7553,-9999.0000,-9999.0000,32.2100,131.2242,-9999.0000,-9999.0000,53.3099,52.6381,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
TF2-crust-only-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,-5.0000,-0.5000,30.0000,2.0000,0.0000,5.0000,0.1944,10.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,522.4148,62.3919,0.0217,2.5000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,12.1000,51.9232,-9999.0000,-9999.0000,24.1231,99.4166,-9999.0000,-9999.0000,33.2100,130.5421,-9999.0000,-9999.0000,53.4016,50.9481,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
TF3-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,-5.0000,0.0000,30.0000,15.5000,0.0000,5.0000,0.0556,10.0000,0.0000,0.0000,50.0000,776.4151,67.4528,0.0000,35.0000,568.2447,63.5346,-1.9030,15.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,33.5900,45.3015,-9999.0000,-9999.0000,45.2377,95.1046,-9999.0000,-9999.0000,45.5700,121.2354,-9999.0000,-9999.0000,47.9572,272.0421,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
TF3-crust-only-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,-5.0000,0.0000,30.0000,15.5000,0.0000,5.0000,0.0556,10.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,513.6292,58.7747,0.0131,15.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,36.9400,43.5311,-9999.0000,-9999.0000,45.8921,122.4000,-9999.0000,-9999.0000,46.0000,129.3625,-9999.0000,-9999.0000,50.5432,271.5977,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
TF4-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,-5.0000,0.0000,30.0000,2.0000,0.0000,5.0000,0.0556,10.0000,0.0000,0.0000,37.5000,550.9346,58.9019,0.0000,35.0000,532.4509,60.3359,-0.2697,2.5000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,38.0000,45.4658,-9999.0000,-9999.0000,53.6211,52.6381,-9999.0000,-9999.0000,54.3000,52.6381,-9999.0000,-9999.0000,54.6335,52.6381,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
TF4-crust-only-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,-5.0000,0.0000,30.0000,2.0000,0.0000,5.0000,0.0556,10.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,512.4473,58.6634,0.0100,2.5000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,39.0900,45.2036,-9999.0000,-9999.0000,53.7643,50.9481,-9999.0000,-9999.0000,54.3200,50.9481,-9999.0000,-9999.0000,54.6410,50.9481,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EF1-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,5.0000,0.5000,30.0000,14.5000,0.0000,5.0000,0.1944,10.0000,0.0000,0.0000,50.0000,776.4151,67.4528,0.0000,35.0001,642.9070,73.4315,-1.7046,15.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,10.2200,53.0569,-9999.0000,-9999.0000,19.6698,101.5139,-9999.0000,-9999.0000,26.0400,133.8537,-9999.0000,-9999.0000,45.1626,224.1131,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EF1-crust-only-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,5.0000,0.5000,30.0000,14.5000,0.0000,5.0000,0.1944,10.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,530.7213,63.2160,0.0435,15.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,11.8900,52.0498,-9999.0000,-9999.0000,23.3764,99.8198,-9999.0000,-9999.0000,31.1800,131.0550,-9999.0000,-9999.0000,49.3135,257.9113,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EF2-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,5.0000,-0.5000,30.0000,3.0000,0.0000,5.0000,0.1944,10.0000,0.0000,0.0000,37.5000,550.9346,58.9019,0.0000,35.0001,610.8755,70.3865,-0.0541,2.5000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,10.7100,52.7352,-9999.0000,-9999.0000,20.8985,100.8538,-9999.0000,-9999.0000,28.4000,134.4729,-9999.0000,-9999.0000,51.8682,52.6381,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EF2-crust-only-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,5.0000,-0.5000,30.0000,3.0000,0.0000,5.0000,0.1944,10.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,531.5780,63.3014,0.0458,2.5000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,11.8600,52.0264,-9999.0000,-9999.0000,23.3067,99.8822,-9999.0000,-9999.0000,31.2800,132.2404,-9999.0000,-9999.0000,52.5107,50.9481,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EF3-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,5.0000,1.0000,30.0000,14.5000,0.0000,5.0000,0.0556,10.0000,0.0000,0.0000,50.0000,776.4151,67.4528,0.0000,35.0000,608.8680,67.1443,-1.7777,15.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,30.9600,46.1419,-9999.0000,-9999.0000,44.3231,90.8149,-9999.0000,-9999.0000,45.0900,115.0442,-9999.0000,-9999.0000,47.9103,266.7022,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EF3-crust-only-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,5.0000,1.0000,30.0000,14.5000,0.0000,5.0000,0.0556,10.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,520.2234,59.3934,0.0307,15.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,35.3100,44.2563,-9999.0000,-9999.0000,45.4043,112.7137,-9999.0000,-9999.0000,45.6900,129.3701,-9999.0000,-9999.0000,50.6114,271.5977,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EF4-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,5.0000,-1.0000,30.0000,3.0000,0.0000,5.0000,0.0556,10.0000,0.0000,0.0000,37.5000,550.9346,58.9019,0.0000,35.0000,578.8641,64.4456,-0.1252,2.5000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,33.5200,46.3955,-9999.0000,-9999.0000,51.7649,52.6381,-9999.0000,-9999.0000,53.8400,52.6381,-9999.0000,-9999.0000,54.5362,52.6381,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EF4-crust-only-explicit-55,55.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,7,5.0000,-1.0000,30.0000,3.0000,0.0000,5.0000,0.0556,10.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,520.7209,59.4403,0.0320,2.5000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,35.8300,45.3370,-9999.0000,-9999.0000,52.4261,50.9481,-9999.0000,-9999.0000,54.0100,50.9481,-9999.0000,-9999.0000,54.5675,50.9481,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
DL1-crust-only-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,1.0000,0.0000,-1.0000,1,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,506.4552,57.0429,1.0195,35.0000,722.6336,84.1544,0.6565,15.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,6.1600,56.8137,-9999.0000,-9999.0000,11.5051,106.2858,-9999.0000,-9999.0000,14.4600,133.7597,-9999.0000,-9999.0000,27.1847,253.7695,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
DL1-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,1.0000,0.0000,-1.0000,1,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,776.4151,67.4528,0.5529,35.0000,778.9289,89.0459,-1.2900,15.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,5.8800,57.1153,-9999.0000,-9999.0000,11.0228,106.5084,-9999.0000,-9999.0000,14.0500,135.2126,-9999.0000,-9999.0000,27.2710,254.0716,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE2-crust-only-15km-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,540.0320,66.3986,0.0570,15.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,7.7700,54.9118,-9999.0000,-9999.0000,15.0553,103.3359,-9999.0000,-9999.0000,20.3900,136.8164,-9999.0000,-9999.0000,42.0438,251.6459,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE2-15km-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,776.4151,67.4528,0.0000,35.0000,670.3058,78.6596,-1.6459,15.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,6.6200,56.2401,-9999.0000,-9999.0000,12.5552,104.9608,-9999.0000,-9999.0000,16.6000,137.0930,-9999.0000,-9999.0000,32.6138,252.3007,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
